date,ticker,firm_low,firm_high,prev_close,atm_iv,call_iv,put_iv,iv_skew,sigma_daily,next_date,actual_close,actual_high,actual_low,rv_1s_low,rv_1s_high,rv_2s_low,rv_2s_high,iv_1s_low,iv_1s_high,iv_2s_low,iv_2s_high,blend_1s_low,blend_1s_high,blend_2s_low,blend_2s_high,firm_hit,iv_1s_hit,iv_2s_hit,rv_1s_hit,rv_2s_hit,blend_1s_hit,blend_2s_hit
2025-12-08,MSFT,469.000000,494.000000,483.000000,,,,,0.014240,2025-12-09,489.838593,489.938155,486.334210,476.122153,489.877847,469.244306,496.755694,,,,,476.122153,489.877847,469.244306,496.755694,True,False,False,True,True,True,True
2025-12-08,AAPL,273.000000,288.000000,279.000000,,,,,0.010742,2025-12-09,276.665955,279.510675,276.406457,276.002934,281.997066,273.005868,284.994132,,,,,276.002934,281.997066,273.005868,284.994132,True,False,False,True,True,True,True
2025-12-08,AMZN,223.000000,238.000000,230.000000,,,,,0.017488,2025-12-09,227.919998,228.570007,225.110001,225.977865,234.022135,221.955729,238.044271,,,,,225.977865,234.022135,221.955729,238.044271,True,False,False,True,True,True,True
2025-12-08,META,608.000000,680.000000,673.000000,,,,,0.018086,2025-12-09,655.255798,662.756249,651.645194,660.828323,685.171677,648.656645,697.343355,,,,,660.828323,685.171677,648.656645,697.343355,True,False,False,False,True,False,True
2025-12-08,GOOGL,311.000000,330.000000,321.000000,,,,,0.023739,2025-12-09,316.667786,317.576606,311.494527,313.379833,328.620167,305.759666,336.240334,,,,,313.379833,328.620167,305.759666,336.240334,True,False,False,True,True,True,True
2025-12-08,NFLX,97.000000,108.000000,100.000000,,,,,0.025123,2025-12-09,96.709999,97.239998,95.449997,97.487744,102.512256,94.975489,105.024511,,,,,97.487744,102.512256,94.975489,105.024511,False,False,False,False,True,False,True
2025-12-08,TSLA,419.000000,463.000000,455.000000,,,,,0.028637,2025-12-09,445.170013,452.390015,435.700012,441.970223,468.029777,428.940446,481.059554,,,,,441.970223,468.029777,428.940446,481.059554,True,False,False,True,True,True,True
2025-12-08,NVDA,176.000000,186.000000,182.000000,,,,,0.024822,2025-12-09,184.959991,185.709951,183.310087,177.482447,186.517553,172.964895,191.035105,,,,,177.482447,186.517553,172.964895,191.035105,True,False,False,True,True,True,True
2025-12-08,ORCL,188.000000,224.000000,218.000000,,,,,0.029836,2025-12-09,220.176971,221.260310,216.946821,211.495845,224.504155,204.991690,231.008310,,,,,211.495845,224.504155,204.991690,231.008310,True,False,False,True,True,True,True
2025-12-09,MSFT,472.000000,496.000000,491.000000,,,,,0.013551,2025-12-10,476.438263,482.103038,472.973681,484.346557,497.653443,477.693115,504.306885,,,,,484.346557,497.653443,477.693115,504.306885,True,False,False,False,False,False,False
