date,ticker,firm_low,firm_high,prev_close,sigma_daily,next_date,actual_close,actual_high,actual_low,rv_1s_low,rv_1s_high,rv_2s_low,rv_2s_high,atm_iv,iv_status,iv_1s_low,iv_1s_high,iv_2s_low,iv_2s_high,blend_1s_low,blend_1s_high,blend_2s_low,blend_2s_high,firm_hit,rv_1s_hit,rv_2s_hit,iv_1s_hit,iv_2s_hit,blend_1s_hit,blend_2s_hit
2025-12-03,GOOGL,306.000000,336.000000,316.000000,0.023768,2025-12-04,316.999756,321.730490,314.085475,308.489364,323.510636,300.978728,331.021272,0.171833,contaminated_live,312.579472,319.420528,309.158945,322.841055,311.352440,320.647560,306.704880,325.295120,True,True,True,True,True,True,True
2025-12-03,META,588.000000,670.000000,647.000000,0.017453,2025-12-04,659.813965,674.346115,658.337763,635.708006,658.291994,624.416011,669.583989,0.370389,contaminated_live,631.903992,662.096008,616.807983,677.192017,633.045196,660.954804,619.090391,674.909609,True,False,True,True,True,True,True
2025-12-03,MSFT,467.000000,498.000000,490.000000,0.014271,2025-12-04,478.708191,479.186074,474.377471,483.007269,496.992731,476.014537,503.985463,0.197835,contaminated_live,483.893402,496.106598,477.786805,502.213195,483.627562,496.372438,477.255124,502.744876,True,False,True,False,True,False,True
2025-12-03,NFLX,101.000000,112.000000,109.000000,0.023693,2025-12-04,103.220001,103.800003,101.769997,106.417478,111.582522,103.834955,114.165045,0.232901,contaminated_live,107.400822,110.599178,105.801644,112.198356,107.105819,110.894181,105.211637,112.788363,True,False,False,False,False,False,False
2025-12-03,NVDA,174.000000,187.000000,181.000000,0.025266,2025-12-04,183.370087,184.510024,179.950273,176.426835,185.573165,171.853669,190.146331,0.350432,contaminated_live,177.004402,184.995598,173.008804,188.991196,176.831132,185.168868,172.662264,189.337736,True,True,True,True,True,True,True
2025-12-03,ORCL,186.000000,209.000000,201.000000,0.028486,2025-12-04,213.020950,214.094356,205.059878,195.274250,206.725750,189.548500,212.451500,0.415748,contaminated_live,195.735877,206.264123,190.471753,211.528247,195.597389,206.402611,190.194777,211.805223,False,False,False,False,False,False,False
2025-12-03,TSLA,392.000000,446.000000,429.000000,0.031074,2025-12-04,454.529999,454.630005,445.390015,415.669357,442.330643,402.338715,455.661285,0.320035,contaminated_live,420.351234,437.648766,411.702469,446.297531,418.946671,439.053329,408.893343,449.106657,False,False,True,False,False,False,False
2025-12-04,AAPL,277.000000,291.000000,284.000000,0.010627,2025-12-05,278.263000,280.618640,277.534343,280.981874,287.018126,277.963748,290.036252,0.142085,contaminated_live,281.458051,286.541949,278.916102,289.083898,281.315198,286.684802,278.630396,289.369604,True,False,True,False,False,False,False
2025-12-04,AMZN,218.000000,241.000000,232.000000,0.018384,2025-12-05,229.529999,231.240005,228.550003,227.734816,236.265184,223.469633,240.530367,0.211678,contaminated_live,228.906408,235.093592,225.812816,238.187184,228.554931,235.445069,225.109861,238.890139,True,True,True,True,True,True,True
2025-12-04,GOOGL,311.000000,337.000000,320.000000,0.023599,2025-12-05,320.642578,322.528902,318.546704,312.448188,327.551812,304.896376,335.103624,0.171833,contaminated_live,316.536175,323.463825,313.072349,326.927651,315.309779,324.690221,310.619557,329.380443,True,True,True,True,True,True,True
2025-12-04,META,583.000000,657.000000,640.000000,0.018788,2025-12-05,671.673096,672.939821,660.671740,627.975503,652.024497,615.951005,664.048995,0.370389,contaminated_live,625.067318,654.932682,610.134635,669.865365,625.939773,654.060227,611.879546,668.120454,False,False,False,False,False,False,False
2025-12-04,MSFT,465.000000,492.000000,478.000000,0.014216,2025-12-05,481.017883,481.256810,476.756860,471.204983,484.795017,464.409966,491.590034,0.197835,contaminated_live,472.042952,483.957048,466.085903,489.914097,471.791561,484.208439,465.583122,490.416878,True,True,True,True,True,True,True
